,premise,hypothesis,label,explanation,language
600,"Ein Mann in einem Krawattenhemd und Jeans sitzt auf einer Bank mit einem Hund und einer Gitarre auf seinem Schoß, sowie einer Mundharmonika am Mund.",Der Straßenkünstler macht eine Pause.,neutral,"Gitarre auf seinem Schoß, sowie eine Mundharmonika neben seinem Mund bedeutet nicht immer Performer",german
601,"Ein Mann, der ein weißes Hemd und eine schwarze Hose trägt, fällt auf ein Bett vor einem Fenster mit Blick auf den Ozean.",Eine Frau fällt in ein Bett,contradiction,Es ist entweder ein Mann oder eine Frau,german
602,"Drei Leute, die auf einer Treppe sitzen und lachen.",Die Hunde lachen.,contradiction,"Die erste Geschichte enthält drei lachende Leute, dann wechselt sie zu Hunden.",german
603,"Drei Kinder, zwei Jungen und ein Mädchen, spielen mit den Schaukeln auf einem Spielplatz mit Wohnhäusern im Hintergrund.",Die drei Kinder sind miteinander verwandt.,neutral,"Kinder, die zusammen spielen, werden nicht davon ausgegangen, dass sie miteinander verwandt sind.",german
604,"Ein Mann in einem roten Hemd wird von einem anderen Mann auf einem Sportplatz gefilmt, mit einem riesigen Publikum von Leuten, die zusehen und jubeln.",Die Menge ist sehr ruhig.,contradiction,Die Menge kann nicht gleichzeitig sehr ruhig und jubelnd sein.,german
605,"Ein Mann auf einem Markt, der einige sehr große grüne Zwiebeln hält, während er eine Zigarette raucht.",Ein Mann hält Äpfel.,contradiction,"Die Äpfel widersprechen den Zwiebeln, die der Mann hält.",german
606,Ein langer dunkelhaariger Mann sitzt auf dem Gras mit einer Gitarre in seinem Schoß vor einem blauen Himmel.,Ein Mann sitzt draußen.,entailment,Auf dem Gras impliziert im Freien.,german
607,"Ein Junge trägt Jeans, steht auf Felsen in einem Fluss und wirft einen Stein.","Ein Junge, der einen Stein wirft.",entailment,"Der Junge, der Jeans trägt, ist ein Typ von Jungen.",german
608,"Bild von zwei Männern, die in einer Band spielen, einer, der Schlagzeug spielt und einer, der ein Xylophon-Instrument spielt, in einem dunklen Raum mit zwei unerkennbaren Leuten, die im Hintergrund zusehen.",Eine Band spricht für die Besitzer eines Nachtclubs vor.,neutral,Eine Band kann ohne Vorsprechen spielen.,german
609,"Zwei Dirtbiker - einer in schwarz und rot, Sportnummer 64, der andere in blau und weiß mit einem roten '21'- um die Ecke einer baumgesäumten Strecke.","Die beiden Biker, Freunde und Konkurrenten, runden die letzte Kurve des letzten Rennens der Saison ab.",neutral,nicht alle Dirt Biker sind Freunde und nicht alle Rennen sind das letzte Rennen,german
610,"Erwachsene und Kinder haben einen Anteil am Blick auf etwas, und einige junge Damen stehen an der Seite.",Einige Kinder suchen,entailment,Schauen ist eine Umformulierung des Anteils am Betrachten von etwas.,german
611,"Ein Mann, der ein kariertes Hemd, einen Cremeanzug und Tennisschuhe trägt, sitzt auf einer Bank.",der Kerl in funky Kleidung ist auf der Bank,entailment,Ein kariertes Hemd ist funky Kleidung.,german
612,"Ein junger Mann, der auf einem Fuß in bunten Bowlingschuhen steht, nachdem er den Ball geworfen hat.",Ein junger Mann steht barfuß auf beiden Füßen.,contradiction,Der junge Mann kann nicht auf einem Fuß und beiden Füßen stehen.,german
613,Ein Mann hält eine Zigarette draußen vor einer blauen Wand mit einem Waschbecken darauf.,"Ein Mann, der eine Zigarette hält.",entailment,"""Ein Mann hält eine Zigarette"" bedeutet dasselbe wie ""Ein Mann hält eine Zigarette"".",german
614,Ein junger Junge mit rasiertem Kopf und schmutzigem weißem Kragenhemd hält ein Huhn in seinem Arm.,Der Junge ist schwimmen gegangen.,contradiction,"Der Junge kann nicht schwimmen gehen, während er ein Huhn hält.",german
615,"Eine Frau, die in einem Juwelierladen arbeitet und das Regal repariert.","Die Frau träumt von einer Modelkarriere, während sie im Schmuckgeschäft arbeitet.",neutral,"Nichts sagt, dass die Frau von einer Modelkarriere träumt.",german
616,"Ein Kind mit einem roten Oberteil steht hinter einem blonden Kopfkind, das in einer Schubkarre sitzt.",Ein Kind trägt ein rotes Oberteil steht hinter einem hübsch blonden Kopfkind,neutral,Nicht jedes blonde Kind ist hübsch.,german
617,"Während zwei Schüler springen, sitzen oder stehen andere in einem Klassenzimmer.",Zwei Studenten stören den Unterricht.,neutral,"Nur weil zwei Schüler in der Klasse springen, bedeutet das nicht, dass sie diejenigen sind, die die Klasse stören.",german
618,"Rosenblüten, die auf ein asiatisches Paar geworfen werden.",Ein Paar hat gerade geheiratet.,neutral,"Es gibt keine Möglichkeit zu wissen, dass das Paar gerade geheiratet hat.",german
619,"Eine fünfteilige Hornband, die alle in einem Saal spielt, der wie eine Kirche aussieht.","Die Band spielt einen Sousa Marsch, um die Feiertage zu feiern.",neutral,Nicht alle Veranstaltungen in einer Kirche oder einen Urlaub zu feiern. Bands nicht unbedingt spielen ein Sousa Marsch.,german
620,"Ein Mann mit roten Skihosen, einer schwarzen Jacke und einem weißen Helm fährt einen Berg hinunter.",Der Mann ist draußen.,entailment,"Ihr Bedürfnis, draußen zu sein, um einen Berg hinunter zu fahren.",german
621,"eine Frau in einem braunen Kleid, die sich Papiere vor einer Klasse anschaut.","Eine Frau, die Papiere überprüft, ist eine Lehrerin.",neutral,"Nur weil eine Frau Papiere anschaut, heißt das nicht, dass sie sie überprüft, nur weil eine Frau vor einer Klasse steht, bedeutet das nicht, dass sie Lehrerin ist.",german
622,Eine Person liegt in einem Grasgebiet in der Nähe eines Gebäudes.,Die Person springt auf ein Trampolin.,contradiction,Die Person legt sich entweder hin oder springt.,german
623,Eine Gruppe von drei Personen und ein Hund wandern einen grünen Berghang hinauf.,Die Leute rasen einen Hügel hoch.,neutral,Die Leute rasen nicht unbedingt.,german
624,ein brauner Hund kommt aus einem orangen und gelben Tunnel,Ein brauner Hund tanzt aus einem orangen und gelben Tunnel.,contradiction,Der Hund kann nicht aus dem gelben Tunnel kommen und tanzen.,german
625,"Zwei Hunde, die Schnauzen tragen, laufen.",Es gibt Hunde mit Schnauzen,entailment,"Die Hunde müssen mit Schnauzen sein, wenn sie sie tragen.",german
626,Eine Gruppe Leute und ein Hund sitzen auf den Stufen.,Eine Gruppe von Hunden wartet auf ihren Meister.,contradiction,"Die Gruppe von Menschen, die auf Stufen sitzen, hat einen Hund. Die Gruppe von Hunden wartet auf ihren Meister.",german
627,Eine junge Frau trägt bei einem Outdoor-Event eine Papierkrone.,die Frau ist draußen,entailment,Ein Outdoor-Event kann nur im Freien stattfinden.,german
628,"Ein Junge, der durch den Ozean spritzt.",Der Junge schwimmt.,entailment,Durch das Meer zu spritzen ist eine Form des Schwimmens.,german
629,Ein pelziger Hund springt über eine Hürde.,Mehrere Hunde fahren und einer springt über eine Hürde.,neutral,"Es wird nur von einem einzigen Hund erwähnt, es wird nicht erwähnt, dass es viele Hunde gibt, noch folgt es, wenn man springt, dass sie Rennen sind.",german
630,"Eine Gruppe von Männern an einem Strand jagen einen anderen Mann, der einen Ball trägt.",Die Männer haben sich heute getroffen.,neutral,"Wenn wir eine Gruppe von Männern hätten, hätten sie sich jederzeit treffen können.",german
631,"Eine Band, die in einem Club auf der Bühne spielt.",Eine Rockband spielt im 9:30 Club,neutral,eine Band muss keine Rockband sein und ein Club könnte jeder sein,german
632,Diese Mädchen haben eine tolle Zeit auf der Suche nach Muscheln.,Die Mädchen sind glücklich.,entailment,"die Mädchen haben große Zeit auf der Suche nach Muscheln, so dass sie glücklich sind.",german
633,Ein hemdloser Mann mit einem weißen Hut und keine Schuhe sitzen kreuz und quer mit seinem Rücken an der Wand halten einen weißen Plastikbecher.,Eine Frau geht,contradiction,Es gibt entweder eine Frau oder einen Mann,german
634,Auf dem Boden lehnt sich ein Junge in einem roten Sweatshirt über einen Fußball und zwei andere Kinder.,Bender schlägt wieder zu!,contradiction,"Ein Bender bezieht sich auf eine Person, damit du keinen Jungen und zwei andere Kinder hast.",german
635,Zwei Männer vor einem Restaurant.,Zwei Männer essen in einem Restaurant.,contradiction,Die Männer können nicht gleichzeitig innerhalb und außerhalb des Restaurants sein,german
636,Ältere Menschen gehen eine Stadtstraße entlang.,Die älteren Menschen schwimmen im Pool.,contradiction,Die Menschen können nicht gleichzeitig eine Stadtstraße hinunterlaufen und im Pool schwimmen.,german
637,Menschen auf einem Naturspaziergang mit Netzen und Rucksäcken mit Bäumen links von ihnen.,"Menschen auf einem Naturspaziergang mit Netzen und Rucksäcken mit Bäumen links von ihnen hoffen, vor Sonnenuntergang ins Camp zurückzukehren.",neutral,"Nicht alle Menschen auf einem Naturwanderweg haben ein Camp, in das sie zurückkehren können; selbst wenn sie dies tun, hoffen sie nicht unbedingt, zu einer bestimmten Zeit, geschweige denn vor Sonnenuntergang, dorthin zurückzukehren.",german
638,"Eine Gruppe von Leuten, die auf der Straße feiern.",Es wird gefeiert.,entailment,"Es gibt eine Feier, weil es Leute gibt, die auf der Straße feiern.",german
639,Ein junger Junge mit rotem Hemd und Jeans steht in der Mitte eines Feldes und wirft ein Spielzeugflugzeug in die Luft.,Ein junger Junge spielt Videospiele im Haus.,contradiction,Junge spielen Videospiele in Innenräumen kann nicht in der Mitte eines Feldes sein.,german
640,"Menschen, die auf einem Außenmarkt einkaufen",Die Leute laufen in einem Einkaufszentrum herum.,contradiction,Die Menschen können nicht gleichzeitig auf einem Außenmarkt und in einem Innen-Mall sein.,german
641,"Eine Person, die mit einem Hund durch einen orangefarbenen Wald schlendert.",Sie laufen mit ihrem Hund.,entailment,"Jemand, der mit einem Hund spaziert, geht mit seinem Hund.",german
642,Eine Person genießt einen schönen sonnigen Tag Paragliding.,Die Person schwimmt.,contradiction,"Die Person ist entweder Schwimmen oder Paragliding, nicht beides.",german
643,"Ein dunkelhäutiger Mann in weißen Hemden und ein schwarzes ärmelloses Hemd kippt sein Skateboard auf eine Zementoberfläche, umgeben von hohen Gebäuden und Palmen.","ein Mann, der sich hinsetzt, baut ein großes Gebäude und isst eine Palme",contradiction,"Es wäre sehr ungewöhnlich, dass man eine Palme isst, die seinen Standort umgibt. Man könnte sein Skateboard beim Sitzen nicht umdrehen.",german
644,Zwei junge Jungs spielen mit einem Spielzeugzug auf einem Holzboden.,Zwei Mädchen spielen mit Puppen.,contradiction,Kann nicht gleichzeitig Jungen und Mädchen sein und entweder mit Zügen oder Puppen spielen.,german
645,Zahlreiche Kunden surfen nach Produkten in einem Markt.,Die Leute kaufen Wassermelonen.,neutral,"Kunden, die Produkte surfen, kaufen nicht unbedingt für Wassermelonen ein.",german
646,"drei Teenager mit T-Shirt laufen den Strand entlang, mit mehreren anderen Menschen im Hintergrund.",Jemand wird an einem Strand gejagt,neutral,"Drei Teenager mit T-Shirt laufen am Strand entlang, mit mehreren anderen Menschen im Hintergrund impliziert nicht, dass sie verfolgt werden.",german
647,"Ein Mann, der ein blaues Hemd und Kopfhörer um seinen Hals trägt, hebt seinen Arm.",Ein Mann hebt seinen Arm.,entailment,Ein Arm kann zum Heben verwendet werden.,german
648,"Ein Mann mit einem großen Schnurrbart beobachtet, wie der Friseur seine Arbeit durch den Spiegel führt, der ihm gegenübersteht.",Die beiden Männer spielen Fußball.,contradiction,"Es gibt entweder zwei Männer oder einen Mann. Er kann nicht Fußball spielen, während er den Friseur beobachtet.",german
649,"Ein Mann, der ein blaues Hemd und Kopfhörer um seinen Hals trägt, hebt seinen Arm.",Der Mann hat zwei Bummboxen auf den Schultern.,contradiction,Um seinen Hals versus auf seinen Schultern. (Persönlich der Kerl mit den beiden Boomboxen ist meine Art von Ende 70's Kerl),german
650,Zwei Personen Fahrrad auf einem Weg durch kleine Berge getrennt.,Zwei Leute sind in einem Fahrradrennen.,neutral,"Zwei Leute können zusammen Fahrrad fahren, ohne ein Rennen zu sein.",german
651,"Ein Mann in einem karierten Hemd geht auf einer Straße, wo es Werbung auf Chinesisch gibt.",Er ist Chinese.,neutral,"Er ist vielleicht nicht chinesisch, jeder Mann kann die chinesischen Straßen entlang gehen.",german
652,Der Radfahrer fährt auf einem bewaldeten Pfad.,Der Radfahrer fährt mit einem Begleiter auf einem bewaldeten Pfad,neutral,Ein Radfahrer kann ohne Begleiter fahren.,german
653,"Eine Frau hält eine Zeitung, die ""Real Change"" sagt.","eine Frau, die eine Zeitung hält, die 'echte Veränderung' sagt",entailment,"Jemand, der die Zeitung hält, hält die Zeitung.",german
654,"Ein Fußballer in Weiß tritt einen Ball, als ein anderer Fußballer in Richtung Ball und ein dritter Fußballer in Rot folgt in der Nähe.","Die Spieler versuchen alle, den Ball aus dem gegnerischen Team zu bekommen.",entailment,"Der Fußballer, der einen Ball tritt, und derjenige, der sich dem Ball zuwendet und derjenige, der in der Nähe folgt, versuchen höchstwahrscheinlich, den Ball von der gegnerischen Mannschaft nach den Regeln des Fußballs zu bekommen.",german
655,Ein Hund mit einem Halsband auf der Straße liegend.,Es gibt ein Tier im Freien.,entailment,"Ein Hund ist ein Tier, und die Straßen sind draußen.",german
656,Eine Menge Leute sind in ein U-Bahn-Auto gepackt.,Eine Person sitzt allein auf einem U-Bahn-Auto.,contradiction,Eine Person ist keine Menge.,german
657,Ein Student in einem grünen Hemd schreibt in einem Notizbuch.,"Ein Student, der für eine große Prüfung studiert",neutral,"Nicht alle Studenten, die in Notizbüchern schreiben, studieren für eine Prüfung.",german
658,"Zwei Leute, die eine Art getragene Struktur hochklettern.",Zwei Leute bringen ein Schiff zum Mond,contradiction,"Leute, die eine Drahtstruktur hochklettern, wären draußen, nicht in einem Schiff zum Mond.",german
659,Eine große Menge steht um die Startlinie.,Die Leute überqueren eine Ziellinie,contradiction,"Eine Szene ist der Beginn eines Rennens, in dem Menschen stehen, und die andere Szene ist das Ende eines Rennens, wo sie eine Ziellinie überqueren.",german
660,GEntleman zeichnet zu Weihnachten auf braunem Papier.,Die Frau zeichnete auf Leinwand.,contradiction,"Die Person ist entweder ein Gentleman oder eine Frau, und das Zeichnen auf Papier ist nicht dasselbe wie das Zeichnen auf Leinwand (in der Tat, ich glaube, Sie malen auf Leinwand, nicht zeichnen).",german
661,"Eine Gruppe von Mädchen springt über ein anderes Mädchen, das auf dem Boden liegt.",Eine Gruppe von Mädchen spielt.,entailment,"Eine Gruppe von Mädchen, die über ein anderes Mädchen springen, das auf dem Boden liegt, bedeutet, dass sie spielen.",german
662,"Ein kleiner Hund läuft, um einen Ball zu fangen.",Ein kleiner Hund jagt einen Ball.,entailment,Chases impliziert Runs.,german
663,Eine Gruppe Hunde steht im Schnee.,Es gibt Tiere im Freien.,entailment,"Hunde sind Tiere, und wenn sie im Schnee stehen, müssen sie draußen sein",german
664,"Eine Person, die eine Treppe in einem Park führt.",Ein Platzhalter in einem Park,neutral,"Die Person, die fegt, darf kein Platzhalter sein.",german
665,"Zwei Frauen, die Schürzen und Haarnetze tragen, schauen sich an, während sie in Metallkanistern greifen.",Zwei Frauen arbeiten.,neutral,Die arbeitenden Frauen tragen vielleicht keine Schürzen und Haarnetze.,german
666,Kinder erhalten Plätze bei einer Preisverleihung.,Die Kinder erhalten Auszeichnungen für humanitäre Anstrengungen.,neutral,"Die Kinder könnten Sportpreise erhalten, nicht unbedingt Auszeichnungen für humanitäre Anstrengungen.",german
667,"ein brauner Hund, der in der Mitte eines riesigen Feldes steht.",Draußen ist ein Hund.,entailment,"Wenn der Hund auf einem Feld ist, dann ist er draußen.",german
668,Zwei Mädchen in roten Schwimmwesten verschließen Ruder auf einem Fluss.,Zwei Mädchen auf einem Boot.,entailment,"Lock Ruder auf einem Fluss bedeutet, dass sie auf einem Boot sind.",german
669,"Ein älterer Mann, der einen Anzug trägt, hat seine Arme hinter dem Rücken gefaltet und in ein Schaufenster geschaut.",Gentleman-Fensterläden.,neutral,"Ein Blick in ein Schaufenster ist kein Muss für jemanden, um Geschäfte zu fenstern, weil die Person könnte abwesend sein.",german
670,Ein kaukasischer Mann trägt rote karierte Unterseiten und eine schwarze Weste mit großen Knöpfen mit einem Tattoo auf einem Arm hat einen kopfüber liegenden Einradbalancier auf seinem Mund.,Ein Mann fährt ein Einrad.,contradiction,"Wenn der Mann das Einrad auf seinem Mund ausbalanciert, kann er nicht auf dem Einrad reiten.",german
671,Ein Mann malt eine Stadtszene auf einer Leinwand auf der Straße.,Ein Mann malt draußen.,entailment,"Straße bedeutet draußen, was bedeutet, dass er draußen ist",german
672,Ein junger Junge trägt einen Anzug und Hut hält Hände mit einem Mädchen in einem grünen Kleid.,die Menschen sterben an Alter,contradiction,"Ein Junge und ein Mädchen, die Händchen halten, haben nichts mit dem Tod alter Menschen zu tun.",german
673,Drei Mädchen blasen die Kerzen eines Kuchens aus Peeps aus.,Es gibt drei Mädchen und einen Kuchen,entailment,Kuchen aus Peeps ist eine Art Kuchen.,german
674,Ein Mann und zwei Kinder stehen vor einem alten Gebäude.,Ein Mann steht mit zwei Kindern.,entailment,Ein Mann steht mit zwei Kindern ist neu gestaltet als ein Mann und zwei Kinder stehen.,german
675,Eine Performance-Gruppe wird in einer kollektiven Bewegung inszeniert.,Die Performance-Gruppe tanzt.,neutral,Du kannst in einer kollektiven Bewegung sein und nicht tanzen.,german
676,"Zwei Dirtbiker - einer in schwarz und rot, Sportnummer 64, der andere in blau und weiß mit einem roten '21'- um die Ecke einer baumgesäumten Strecke.","Ein Mann schiebt den anderen Mann den Hügel hinunter auf den Schlitten, während Zuschauer lachen.",contradiction,"Die Männer um die Ecke oder sie sind auf einem Hügel, aber nicht beide zur gleichen Zeit.",german
677,Zwei Frauen und ein kleines Mädchen ruhen mit Essen und Trinken in der Nähe eines Baumstammes in einem Grasfeld unter blühenden Bäumen.,3 Mädchen ruhen sich aus,entailment,"Zwei Frauen und ein kleines Mädchen, die sich automatisch ausruhen, beziehen sich auf 3 Mädchen, die sich ausruhen.",german
678,"Ein junges blondes Kind isst Schokoladenkuchen mit den Fingern, während es den Löffel in der anderen Hand hält.",ein Kind hat Schokolade auf der ganzen Hand,entailment,"Das Kind hat Schokolade auf der ganzen Hand, weil es seine Finger zum Essen benutzt.",german
679,Ein Junge dreht sich auf einem blauen und gelben Karussell.,Der Junge sitzt auf dem Boden.,contradiction,"Ein Junge, der sich auf einem Karussell dreht, konnte nicht gleichzeitig auf dem Boden sitzen.",german
680,"Ein Mann allein Langlaufskier in der Wildnis, während er einen riesigen Rucksack trägt.",Ein Mann fährt in der Wildnis,entailment,Ein Mann skit Langlaufen mit einem Rucksack.,german
681,"Performer, der 2 Hüte trägt, eine gruselige Maske und eine schwarz-weiße Robe.",Ein Kostüm wird von einem Darsteller getragen.,entailment,"Ein Performer trägt ein Kostüm und das Kostüm könnte 2 Hüte, eine gruselige Maske und eine schwarz-weiße Robe sein.",german
682,Eine Frau spielt Gitarre für Tipps.,Musik kann von litsen gelernt werden,contradiction,"Wenn sie Gitarre spielt, lernt sie nicht durch Zuhören.",german
683,"Ein Frauenroller mit Knie- und Ellenbogenpolstern und einem Helm, der in die Luft springt.",die Frau springt,entailment,"Eine Rollerbladerin ist eine Frau und sie springt in die Luft, also muss sie die Frau sein, die springt.",german
684,"Ein Mann mit einer Fledermaus schwingt auf einen Ball, der auf ihn zukommt.",Der Mann schwingt,entailment,"Ein Ball kommt auf den Mann zu, darum schwingt er.",german
685,"Ein Mann mit dünnem Haar, der durch eine Brille in eine Brille schaut.",Ein vollbehaarter Mann sieht aus wie eine Trinkbrille.,contradiction,Man kann nicht gleichzeitig dünneres Haar und volles Haar haben.,german
686,Eine Mutter hält ihr neugeborenes Baby.,"Ein Vater, der einen Ball hält.",contradiction,Es kann entweder eine Mutter oder ein Vater ein Baby oder einen Ball halten.,german
687,"Leute, die auf einen kleinen Hund schauen, der auf einem Bürgersteig sitzt.",Große Menschen suchen.,neutral,Nicht alle Menschen sind groß.,german
688,Zwei schwarze Frauen genießen ein Mittagessen in einem Restaurant.,Das Restaurant ist voll,neutral,Nicht alle Restaurants sind voll.,german
689,Ein junges Mädchen mit Wasserflügeln springt in einen überfüllten Pool,Das Mädchen springt zu ihrem Vater im Pool.,neutral,Eine Menge deutet nicht auf einen Vater hin.,german
690,"Eine junge Frau, die in schwarz gekleidet ist, heftet Taschen voller Blumen an ein Fahrrad.",Die Frau trägt dunkle Kleidung.,entailment,Die Frauen tragen dunkelschwarze Kleidung.,german
691,"Telefon an ihr Ohr, eine Frau beugt sich an der Seite einer belebten Straße nach vorne.","Telefon ans Ohr, eine Frau beugt sich nach vorne",entailment,"Eine Frau beugt sich nach vorne, wiederholt eine Frau beugt sich nach vorne.",german
692,"Zwei männliche Fußballspieler auf gegnerischen Teams versuchen, den Fußball zu bekommen.",Zwei Fußballer sind hinter dem Ball her.,entailment,"Spieler, die versuchen, den Fußball auf jeden Fall nach dem Ball zu bekommen.",german
693,"Ein asiatischer Mann in einem schwarzen Anzug beobachtet Schüler, die auf Basketballplatz ausgeübt werden.",Mann schläft im Bett,contradiction,Der Mann muss entweder schlafen oder zusehen.,german
694,Zwei Männer arbeiten außerhalb von Polierschuhen.,Einige Männer sehen zusammen fern.,contradiction,Die Leute schauen im Allgemeinen draußen nicht fern.,german
695,"Ein kahler, schwarzer Mann, der eine Sicherheitsbrille und ein langärmeliges schwarzes Hemd trägt, verwendet einen Pick und Hammer, um einen großen Stein in die Kunst zu formen.",Ein schwarzer Mann ohne Haar trägt seine Sicherheitsbrille um den Hals.,neutral,Nicht jeder trägt eine Sicherheitsbrille um den Hals.,german
696,"Ein Mädchen mit lockigem Haar und einem patriotischen Hemd schaut auf einen Monarchenfalter, der auf ihrem linken Zeigefinger sitzt.",Ein Mädchen fängt einen Schmetterling für ein Wissenschaftsmesse-Projekt ein,neutral,"Sie können nicht folgern, es ist für ein faires Projekt.",german
697,"Zwei Frauen trinken Kaffee und plaudern, während sie auf einer Decke in der Nähe eines felsigen Ufers sitzen.",Die beiden Frauen gehen am Ufer entlang und trinken Tee.,contradiction,Die Frauen können nicht sitzen und gehen.,german
698,Mann hackt Holz mit einer Axt.,Der Mann ist draußen.,entailment,"Man muss draußen sein, um Holz zu hacken.",german
699,Das Kind hängt kopfüber mit seinen Beinen über einer Stange.,Das Kind ist sportlich.,neutral,Auf dem Kopf mit den Beinen über einer Stange zu hängen macht nicht automatisch einen Athleten.,german
700,Eine Gruppe von Studenten geht durch den Campus.,Es gibt eine Schultour.,neutral,Gehen bedeutet nicht Tour,german
701,"Zwei Männer stehen auf der Straße, es scheint fast eine Art Film an einem sonnigen Tag in Kalifornien zu sein.",Einige Leute stehen,entailment,Zwei Männer sind einige Leute.,german
702,"Ein Chor, der in einer Kirche praktiziert.",Eine Gruppe von Sängern singt.,entailment,Der Chor besteht aus einer Gruppe von Sängern.,german
703,"Ein junger Junge mit eng geköpften Haaren, trägt eine rote Robe, hält einen schwarzen Wasserkocher, während jemand dabei ist, etwas hineinzuschütten.","ein kleiner Junge hält einen Kessel, der bald mit Salsa gefüllt wird",neutral,"Nur weil jemand im Begriff ist, etwas in den Kessel zu gießen, bedeutet das nicht, dass der Kessel bald gefüllt wird; noch bedeutet es, dass das Etwas, das gegossen wird, Salsa ist.",german
704,Passagiere in einem rostigen gelben Auto fahren die Straße hinunter.,Ein altes Taxi fährt auf einer Straße.,neutral,Ein rostiges gelbes Auto ist nicht immer ein Taxi.,german
705,Ein Mann in einer orangen Jacke reicht unter einem aufgeplatzten blauen Auto auf Holzstützen.,Ein Mann greift in ein Auto.,entailment,Ein Mann isst in einem Auto,german
706,Die schwarze Frau legt Literatur auf.,Die schwarze Frau röstet Marshmallows auf einem Grill.,contradiction,"Die schwarze Frau legte ursprünglich Literatur auf, sie konnte nicht gleichzeitig Marshmallows auf einem Grill rösten.",german
707,"Ein kleiner Junge, der die Karteikarten aus der Pappe herausstanzte.","Ein Junge schlägt seine neuen Karteikarten aus dem Auto, sie kamen i.",entailment,Ein Junge schlägt Karteikarten aus.,german
708,"Eine Person in einem gelben Helm klettert, während eine andere Person mit dem Tether auf dem Boden wartet.",Der Helm hat einen Streifen drauf.,neutral,"Man kann nicht schlussfolgern, dass ein Streifen auf dem Helm ist.",german
709,"Zwei Rettungsleute, die einen Kerl auf einer Bahre ansehen",Ein Mann auf einer Trage.,entailment,Ein Mann ist ein Mann.,german
710,"Ein Straßenarbeiter hält ein Stoppschild, um den Verkehr zu lenken.",Der Verkehr wird von einem Straßenarbeiter geleitet.,entailment,"""Ein Straßenarbeiter hält ein Stoppschild für den direkten Verkehr"" ist eine Rephrase von ""Traffic wird von einem Straßenarbeiter geleitet.""",german
711,Eine Frau trägt einen weißen Mantel Skier auf einer verschneiten Hügel.,Eine Frau fährt einen Hügel hinunter in Colorado.,neutral,Skifahren auf einem schneebedeckten Hügel könnte in vielen Orten außer Colorado auftreten.,german
712,"Ein Mann, ein Junge und ein weißer Hund schauen auf Postkarten.",Ein Mann hat seinen Jungen und seinen Hund aus Spaß Zeit zusammen beim Einkaufen.,neutral,"Nur weil Personen auf eine Anzeige von Postkarten schauen, impliziert das nicht, dass sie einkaufen.",german
713,Männer in einem Büro mit Computern und einer Projektorleinwand.,Die Männer sind im Fitnessstudio.,contradiction,Sie können nicht in einem Büro und einem Fitness-Studio zur gleichen Zeit.,german
714,Eine Frau rasiert einem schwarz-weißen Hund das Haar ab.,Der Junge läuft mit dem Hund im Park.,contradiction,"Satz zwei kann nicht über einen Jungen sein, wenn Satz eins über eine Frau ist",german
715,"Bild von zwei Männern, die in einer Band spielen, einer, der Schlagzeug spielt und einer, der ein Xylophon-Instrument spielt, in einem dunklen Raum mit zwei unerkennbaren Leuten, die im Hintergrund zusehen.",Ein Mann spielt Trompete an der Straßenecke.,contradiction,"Ein Mann spielt Schlagzeug und man spielt Xylophon, nicht Trompete, und sie sind in einem dunklen Raum, nicht in einer Straßenecke.",german
716,Eine alte Frau und ein junger Mann untersuchen ihre Bingokarten.,"Eine Frau und ein Mann überprüfen ihre Bingokarten, um zu sehen, ob sie gewonnen haben.",neutral,"Prüfen bedeutet nicht zu sehen, ob sie gewonnen haben",german
717,Ein Skateboarder segelt über weiße Stufen.,Der Skater sprang hoch über die Stufen.,entailment,"Um zu segeln, müssen Sie hoch springen.",german
718,Ein heller Hund springt über eine Hürde.,Ein Hund schläft auf dem Tisch.,contradiction,"Der Hund, der über etwas springt, kann nicht auf dem Tisch schlafen.",german
719,"Der Skateboarder springt sein Board in die Luft, während ein anderer Skateboarder Uhren.",Zwei Kerle rollerblading.,contradiction,Sie können nicht springen und beobachten Sie einen Skateboarder und Rollerblading zur gleichen Zeit.,german
720,Der Maler kreiert alte Kunstwerke in einem Museum.,Ein Maler kopiert Meisterwerke in einem Museum.,entailment,"Ein Maler, der alte Kunstwerke neu erschaffen hat, muss Meisterwerke kopieren.",german
721,"Ein junges Mädchen lacht und jagt Tauben auf der Straße, wo andere Leute in der Nähe laufen.",Ein junges Mädchen jagt Vögel.,contradiction,Ein junges Mädchen kann Tauben oder Vögel jagen.,german
722,"Zwei Mädchen, eine mit dunklen Haaren, Brille und rote Hose, die andere mit einem blauen Hemd und Jeans mit blonden Haaren sprechen und gehen einen Bürgersteig hinunter.",Ein alter Pirat zeigt all seine extremen Tattoos.,contradiction,"Entweder gibt es zwei Mädchen reden und gehen einen Bürgersteig hinunter oder es gibt einen alten Piraten, der seine extremen Tattoos zeigt.",german
723,"Ein Mann, der aus einem Floß mit 6 anderen Leuten fliegt.",Das Floß hat Leute drin.,entailment,"Wenn das Floß mit 6 anderen Leuten gefüllt ist, dann hat das Floß Leute darin.",german
724,"Zwei Männer, die in der Sommerkleidung spazieren.",Zwei Männer laufen.,entailment,Zwei Männer laufen im Sommerkleid.,german
